Comuna,Ingreso,Diferencia
LA PINTANA,489010,0.25
ISLA DE MAIPO,508522,0.24623115577889448
LA GRANJA,565953,0.3349633251833741
PADRE HURTADO,580069,0.2689075630252101
CERRO NAVIA,583116,0.27891156462585037
SAN RAMON,621673,0.3409090909090909
RENCA,624836,0.24652777777777773
EL MONTE,633912,0.16996047430830036
PUENTE ALTO,649410,0.29396439426834564
TALAGANTE,654528,0.2097902097902098
MACUL,654797,0.1827956989247312
BUIN,658372,0.30042918454935624
PEDRO AGUIRRE CERDA,658544,0.12311557788944727
SAN BERNARDO,658992,0.3441295546558705
LO ESPEJO,679606,0.261744966442953
CONCHALI,704005,0.07918968692449352
EL BOSQUE,706718,0.30608537693006355
SAN JOAQUIN,711546,0.3321167883211679
RECOLETA,723074,0.24253285543608127
QUILICURA,724723,0.3737769080234834
LO PRADO,735338,0.2660944206008584
MELIPILLA,756606,0.24539877300613494
CALERA DE TANGO,762880,0.22999999999999998
CERRILLOS,768210,0.25966850828729277
PENAFLOR,775164,0.20958083832335328
LAMPA,810526,0.1775700934579439
HUECHURABA,812064,0.1330275229357798
QUINTA NORMAL,849241,0.1866028708133971
PUDAHUEL,851461,0.3564154786150713
PENALOLEN,855304,0.09261744966442959
LA CISTERNA,856930,0.2567567567567568
ESTACION CENTRAL,857322,0.23671497584541062
PIRQUE,900322,0.2549019607843137
LA FLORIDA,903085,0.3454800280308339
COLINA,936306,0.18287937743190663
INDEPENDENCIA,943380,0.26385809312638586
MAIPU,1076966,0.3283699059561129
SAN MIGUEL,1103563,0.4510385756676558
SANTIAGO,1292370,0.09113924050632916
NUNOA,1402674,0.2663438256658595
PROVIDENCIA,2531234,-0.03733602421796167
LA REINA,2566862,0.23566878980891715
VITACURA,3332463,0.22222222222222227
LO BARNECHEA,3341069,0.13173652694610777
LAS CONDES,3733792,0.1254396248534584
